,cluster
BANF1,194
BANF2,23
BANK1,54
BAP1,109
BARHL1,140
BARHL2,24
BARX1,67
BARX2,79
BATF,113
BATF2,137
BATF3,62
BAX,198
BAZ1A,132
BAZ1B,126
BAZ2A,140
BAZ2B,189
BBOF1,29
BBOX1,24
BBS12,1
BBS4,47
BBX,42
BCAM,19
BCAN,167
BCAP29,27
BCAP31,103
BCAR1,152
BCAR3,154
BCAS4,171
BCAT1,66
BCAT2,186
BCDIN3D,136
BCHE,29
BCKDHA,172
BCKDHB,11
BCKDK,133
BCL11A,90
BCL11B,85
BCL2,115
BCL2A1,9
BCL2L1,104
BCL2L10,175
BCL2L11,127
BCL2L12,185
BCL2L14,184
BCL2L2,85
BCL3,62
BCL6,113
BCL6B,166
BCL7A,77
BCL7B,9
BCL7C,22
BCL9,42
BCL9L,90
BCLAF1,89
BCLAF3,15
BCO1,1
BCO2,79
BCOR,90
BCORL1,36
BCR,116
BDH1,77
BDKRB1,66
BDKRB2,132
BDNF,165
BECN1,110
BEND2,172
BEST1,19
BEST2,167
BEST3,174
BEST4,136
BEX1,187
BEX2,11
BEX3,23
BEX5,65
BFSP2,177
BGN,182
BHLHA15,125
BHLHA9,41
BHLHE22,41
BHLHE23,41
BHLHE40,181
BHLHE41,164
BHMT,49
BHMT2,125
BICC1,162
BICD1,30
BICD2,139
BICDL1,68
BICDL2,200
BICRA,114
BICRAL,114
BIN1,196
BIN2,192
BIN3,180
BIRC2,107
BIRC3,29
BIRC5,102
BIRC6,160
BIRC7,140
BIVM,23
BLK,185
BLM,83
BLNK,113
BLOC1S2,193
BLOC1S4,74
BLTP3A,60
BLTP3B,44
BLVRA,186
BMAL1,3
BMAL2,164
BMI1,46
BMP1,42
BMP10,1
BMP15,171
BMP2,37
BMP2K,53
BMP3,42
BMP4,53
BMP5,1
BMP6,39
BMP7,175
BMP8A,59
BMP8B,128
BMPER,189
BMPR1A,89
BMPR1B,65
BMPR2,89
BMS1,100
BMX,145
BNC1,181
BNC2,62
BNIP3,32
BNIP3L,190
BNIPL,129
BOC,55
BOD1,74
BOD1L1,87
BOD1L2,190
BOK,168
BOLA1,64
BOLA3,155
BOLL,155
BPGM,44
BPHL,10
BPI,65
BPIFA1,155
BPIFA2,155
BPIFA3,135
BPIFB1,140
BPIFB2,135
BPIFB3,177
BPIFB4,35
BPIFB6,135
BPIFC,28
BPNT1,60
BPNT2,11
BPTF,116
BRAF,81
BRCC3,199
BRD1,84
BRD2,84
BRD3,57
BRD4,114
BRD7,143
BRD9,114
BRDT,11
BRF1,86
BRF2,12
BRICD5,60
BRINP1,174
BRINP2,171
BRINP3,5
BRIP1,83
BRMS1,119
BRMS1L,157
BRPF1,90
BRPF3,189
BRS3,20
BRSK1,179
BRSK2,15
BRWD1,3
BRWD3,196
BSDC1,127
BSG,118
BSN,37
BSPH1,47
BSPRY,189
BST1,28
BSX,79
BTAF1,116
BTBD1,64
BTBD10,8
BTBD16,46
BTBD17,55
BTBD18,164
BTBD2,191
BTBD3,44
BTBD6,190
BTBD8,154
BTBD9,14
BTC,67
BTD,192
BTF3,84
BTF3L4,183
BTG1,82
BTG2,175
BTG3,127
BTG4,79
BTK,113
BTN1A1,170
BTN2A1,174
BTN2A2,94
BTN3A1,46
BTN3A2,42
BTN3A3,9
BTNL3,7
BTNL8,7
BTNL9,170
BTRC,30
BUB1,86
BUB1B,15
BUB3,100
BZW1,196
BZW2,29
C10orf120,20
C10orf90,50
C11orf24,49
C12orf50,24
C15orf48,37
C15orf62,139
C16orf96,172
C17orf99,172
C1GALT1,38
C1GALT1C1,38
C1QA,192
C1QB,144
C1QC,166
C1QL1,200
C1QL2,167
C1QL3,10
C1QL4,167
C1QTNF1,185
C1QTNF12,75
C1QTNF2,49
C1QTNF3,178
C1QTNF4,49
C1QTNF5,79
C1QTNF6,173
C1QTNF7,18
C1QTNF8,57
C1QTNF9,178
C1QTNF9B,178
C1RL,178
C1S,145
C1orf226,132
C1orf53,172
C2,185
C20orf173,19
C20orf202,187
C22orf42,48
C2CD2,63
C2CD2L,79
C2CD4A,44
C2CD4B,68
C2CD4C,56
C2CD4D,67
C2orf66,36
C3,68
C3AR1,178
C3orf18,128
C3orf20,17
C4BPA,172
C4BPB,23
C5,132
C5AR1,65
C5AR2,173
C6,124
C7,124
C8A,49
C8B,49
C8orf74,98
C9,49
CA1,35
CA10,1
CA11,65
CA12,66
CA13,42
CA14,22
CA2,189
CA3,178
CA4,55
CA5A,183
CA5B,15
CA6,170
CA7,127
CA8,34
CA9,176
CAB39,148
CAB39L,8
CABLES1,165
CABLES2,77
CABP1,191
CABP2,119
CABP4,119
CABP5,46
CABP7,42
CACHD1,175
CACNA1A,136
CACNA1B,168
CACNA1C,77
CACNA1D,174
CACNA1E,170
CACNA1F,178
CACNA1G,18
CACNA1H,61
CACNA1I,167
CACNA1S,188
CACNA2D1,29
CACNA2D2,132
CACNA2D3,9
CACNA2D4,132
CACNB1,122
CACNB2,155
CACNB3,136
CACNB4,189
CACNG1,156
CACNG2,32
CACNG3,28
CACNG4,136
CACNG5,174
CACNG6,31
CACNG7,167
CACNG8,58
CACTIN,13
CACUL1,37
CAD,111
CADM1,170
CADM2,2
CADM3,49
CADM4,124
CALB1,189
CALB2,193
CALCA,68
CALCB,168
CALCOCO1,136
CALCOCO2,145
CALCR,188
CALCRL,124
CALD1,44
CALHM1,4
CALHM2,68
CALHM3,174
CALHM4,186
CALHM5,69
CALHM6,16
CALM1,139
CALM2,139
CALM3,193
CALML3,168
CALML4,128
CALML5,61
CALML6,75
CALN1,136
CALR,165
CALR3,31
CALU,198
CALY,78
CAMK1,74
CAMK1D,1
CAMK1G,63
CAMK2A,144
CAMK2B,196
CAMK2D,35
CAMK2G,37
CAMK2N1,48
CAMK2N2,197
CAMK4,44
CAMKK1,7
CAMKK2,63
CAMKV,132
CAMSAP1,174
CAMSAP2,159
CAMSAP3,21
CAMTA1,75
CAMTA2,36
CAND1,105
CAND2,187
CANX,74
CAP1,105
CAP2,98
CAPG,189
CAPN1,119
CAPN10,60
CAPN11,36
CAPN12,68
CAPN13,14
CAPN14,65
CAPN15,61
CAPN2,7
CAPN3,143
CAPN5,19
CAPN6,139
CAPN7,53
CAPN9,65
CAPNS1,120
CAPNS2,36
CAPRIN1,159
CAPRIN2,164
CAPS,68
CAPS2,9
CAPSL,1
CAPZA1,35
CAPZA2,155
CAPZA3,44
CARD10,64
CARD11,143
CARD14,73
CARD16,89
CARD18,79
CARD6,42
CARD9,58
CARHSP1,169
CARM1,116
CARMIL1,39
CARMIL2,132
CARMIL3,121
CARNS1,119
CARS1,58
CARS2,72
CASK,22
CASKIN1,141
CASKIN2,58
CASP1,79
CASP10,141
CASP14,10
CASP2,198
CASP3,23
CASP4,199
CASP5,89
CASP6,67
CASP7,182
CASP8,144
CASP9,198
CASQ1,173
CASQ2,154
CASR,140
CASS4,184
CASTOR1,196
CASTOR2,126
CATIP,68
CATSPER1,119
CATSPER2,192
CATSPER3,14
CATSPER4,46
CAV1,16
CAV2,16
CAV3,168
CAVIN1,88
CAVIN2,198
CAVIN3,41
CAVIN4,1
CBFA2T2,38
CBFA2T3,55
CBL,79
CBLB,67
CBLC,36
CBLIF,125
CBLL1,110
CBLL2,55
CBLN1,143
CBLN2,8
CBLN3,187
CBLN4,44
CBR1,67
CBR3,189
CBS,192
CBX1,194
CBX2,73
CBX3,36
CBX4,46
CBX5,24
CBX6,4
CBX7,50
CBX8,191
CBY1,139
CBY2,124
CBY3,74
CC2D1A,21
CC2D1B,37
CC2D2A,156
CC2D2B,31
CCAR1,110
CCAR2,130
CCDC102A,122
CCDC102B,155
CCDC112,24
CCDC120,189
CCDC122,31
CCDC126,31
CCDC136,64
CCDC146,1
CCDC148,30
CCDC157,180
CCDC158,132
CCDC160,15
CCDC166,58
CCDC180,178
CCDC191,139
CCDC27,75
CCDC28B,127
CCDC38,23
CCDC42,51
CCDC61,182
CCDC63,26
CCDC65,36
CCDC68,36
CCDC69,23
CCDC70,26
CCDC71,127
CCDC71L,3
CCDC74A,192
CCDC74B,197
CCDC8,21
CCDC85A,177
CCDC85B,178
CCDC85C,169
CCDC88A,24
CCDC88B,119
CCDC88C,169
CCDC9,36
CCDC90B,32
CCDC92,125
CCDC9B,177
CCHCR1,68
CCIN,14
CCKAR,35
CCKBR,4
CCL1,123
CCL11,26
CCL13,123
CCL14,123
CCL16,123
CCL17,34
CCL18,155
CCL19,176
CCL2,123
CCL20,84
CCL21,176
CCL22,191
CCL23,11
CCL24,189
CCL25,96
CCL26,178
CCL27,176
CCL28,138
CCL3,11
CCL3L3,172
CCL4,94
CCL5,123
CCL7,123
CCL8,11
CCM2,115
CCM2L,135
CCN1,48
CCN2,175
CCN3,131
CCN4,170
CCN5,192
CCN6,196
CCNA1,24
CCNA2,12
CCNB1,12
CCNB2,30
CCNB3,155
CCND1,87
CCND2,117
CCND3,115
CCNE1,161
CCNE2,44
CCNF,87
CCNG1,82
CCNG2,139
CCNH,101
CCNI,82
CCNI2,19
CCNJ,34
CCNJL,164
CCNK,57
CCNL1,96
CCNL2,75
CCNO,174
CCNP,120
CCNT1,197
CCNT2,37
CCNY,44
CCNYL1,37
CCR1,44
